id,fromObjectiveId,toObjectiveId,relationshipType,strength,rationale,caseAssociationType,reviewStatus
https://education.asfai.org/associations/0001848a-1dc8-577c-b05b-72ca42d05298,https://education.asfai.org/objectives/030a6b60-6883-5c3f-81a9-d38850376916,https://education.asfai.org/objectives/4b43c488-700e-5b4f-aea8-cd2708a17002,prerequisiteOf,hard,Must understand objects vs materials before reasoning about reassembling pieces,precedes,unreviewed
https://education.asfai.org/associations/003c02aa-ee98-5460-8300-a8398731e3fc,https://education.asfai.org/objectives/656205e2-eaa6-5180-b15d-3eae0d5d1bed,https://education.asfai.org/objectives/72d055d8-026d-5bf5-b947-1c37e17f15e4,prerequisiteOf,soft,Ocean-climate connection parallels curriculum geosphere/hydrosphere/atmosphere interaction,precedes,unreviewed
https://education.asfai.org/associations/0064e17c-a88a-5fc3-97ca-f82d9f08ee06,https://education.asfai.org/objectives/33c1ff5b-3171-5438-9a2c-3088919c881b,https://education.asfai.org/objectives/34db30b6-ad37-5721-8e66-4ff4df4bc882,prerequisiteOf,hard,Explaining patterns uses properties of operations,precedes,unreviewed
https://education.asfai.org/associations/0066962c-7fe2-555e-8f0b-73ee089d15ac,https://education.asfai.org/objectives/b70e1c00-a01b-51dc-9d07-83d6179bf3a4,https://education.asfai.org/objectives/82e6e7b0-dcf8-5a67-b30e-cd5dbfbffcee,prerequisiteOf,hard,Mentally finding 10 more/less requires understanding that the tens digit changes,precedes,unreviewed
https://education.asfai.org/associations/007a775c-68e8-5b8d-908c-bfdba50764a2,https://education.asfai.org/objectives/0e27b5b1-8e1b-5c3d-8785-5e89ba675ce9,https://education.asfai.org/objectives/2b6cb6f7-8095-5921-b898-45f914ed1e81,prerequisiteOf,soft,Crusades stimulated trade which fuelled town growth,precedes,unreviewed
https://education.asfai.org/associations/008d5467-966d-565f-b368-a705e004ac48,https://education.asfai.org/objectives/03c58de7-f32a-5d1c-8860-9408e1a96dae,https://education.asfai.org/objectives/f12ad425-80bc-53f1-b47f-5547fb26c479,prerequisiteOf,hard,"Adaptations relate to specific layers (prehensile tails in canopy, camouflage on forest floor)",precedes,unreviewed
https://education.asfai.org/associations/0099e2f7-48b6-57ae-bb97-a01f74c22bef,https://education.asfai.org/objectives/5eb8d3fd-4a1f-5efb-9520-90c180d1a8e9,https://education.asfai.org/objectives/06a87110-a7dc-56e5-b3b9-13cc4ebf67bf,prerequisiteOf,hard,"KS3 angle facts extend KS2 angles at a point, on a line, and vertically opposite",precedes,unreviewed
https://education.asfai.org/associations/00b6a19f-8fc7-519a-8f07-07be6bfbd247,https://education.asfai.org/objectives/83488651-3d36-5584-88f5-9b681fec16bb,https://education.asfai.org/objectives/35acb4b3-93ed-5e0d-81d0-a59911060a8c,prerequisiteOf,hard,Miles↔km conversion extends Y5 imperial/metric approximation,precedes,unreviewed
https://education.asfai.org/associations/00c29be2-3899-5272-9035-b30dfea951d6,https://education.asfai.org/objectives/750024a9-3d0b-55d7-907c-36670538dd9a,https://education.asfai.org/objectives/e87bd91f-a6c7-5ce5-a661-6425b4970787,prerequisiteOf,hard,Tectonic plates are pieces of the crust (requires knowing Earth has layers),precedes,unreviewed
https://education.asfai.org/associations/00cef000-e566-5bf1-ab91-580df8dfcb7c,https://education.asfai.org/objectives/1f877e32-134c-5cd5-9785-db4014d8e23f,https://education.asfai.org/objectives/9d7d9d79-3f37-5e4b-8521-eb3b6f8f785a,prerequisiteOf,soft,Rainforest animals provide rich examples for simple food chains (exploratory age 5 -> curriculum age 6),precedes,unreviewed
